collection,candidate_name,status,portrait_page_url,direct_image_url,source_type,source_title,verification_note
Governor,Lisa Demuth,verified,https://www.house.mn.gov/members/profile/15473,https://www.house.mn.gov/hinfo/memberimg93/15473.jpg,official_legislative,Minnesota House of Representatives Member Profile - Lisa Demuth,Verified official legislative portrait from Minnesota House of Representatives website.
Governor,Bruce Blakeman,verified,https://www.nassaucountyny.gov/469/County-Executive,https://www.nassaucountyny.gov/ImageRepository/Document?documentID=32515,government_elected_office,Nassau County Executive Official Page - Bruce Blakeman,Verified official government executive portrait from Nassau County NY website.
Governor,Alan Wilson,verified,https://www.scag.gov/about-the-office/attorney-general-alan-wilson/,https://www.scag.gov/wp-content/uploads/2019/12/Alan-Wilson-Official-Photo.jpg,government_elected_office,South Carolina Attorney General Official Bio - Alan Wilson,Verified official government portrait from South Carolina Attorney General website.
Governor,Monty Fritts,verified,https://wapp.capitol.tn.gov/apps/memberinfo/member.aspx?member=h32,https://wapp.capitol.tn.gov/apps/memberinfo/images/h32.jpg,official_legislative,Tennessee General Assembly Member Profile - Monty Fritts,Verified official legislative portrait from Tennessee General Assembly website.
Governor,David Varnam,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Governor,Eric Barlow,verified,https://wyoleg.gov/Legislators/2023/Senate/Barlow,https://wyoleg.gov/Legislators/2023/Senate/Barlow.jpg,official_legislative,Wyoming Legislature Member Profile - Eric Barlow,Verified official legislative portrait from Wyoming Legislature website.
Black Representation,Herbert C. Conaway,verified,https://en.wikipedia.org/wiki/Herb_Conaway,https://upload.wikimedia.org/wikipedia/commons/f/f4/Representative_Herb_Conaway_Official_Portrait.jpg,licensed_editorial,Wikimedia Commons - Representative Herb Conaway Official Portrait,Verified licensed official portrait from Wikimedia Commons.
Black Representation,Melat Kiros,verified,https://en.wikipedia.org/wiki/Melat_Kiros,https://upload.wikimedia.org/wikipedia/commons/6/69/Melat_Kiros_Portrait.jpg,licensed_editorial,Wikimedia Commons - Melat Kiros Portrait,Verified licensed official portrait from Wikimedia Commons.
Black Representation,Chris Jones,verified,https://en.wikipedia.org/wiki/Chris_Jones_%28Arkansas_politician%29,https://upload.wikimedia.org/wikipedia/commons/9/95/Chris_Jones%2C_Arkansas_gubernatorial_candidate.jpg,licensed_editorial,Wikimedia Commons - Chris Jones Arkansas Gubernatorial Candidate,Verified licensed official campaign portrait from Wikimedia Commons.
Black Representation,Robert White,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Amanda Hollowell,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Pamela DeLancy,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Jasmine Clark,verified,https://www.house.ga.gov/Representatives/en-US/member/1085/Jasmine-Clark,https://www.house.ga.gov/Documents/RepresentativePhotos/1085/clarkJasmine.jpg,official_legislative,Georgia House of Representatives Member Profile - Jasmine Clark,Verified official legislative portrait from Georgia House of Representatives website.
Black Representation,Donavan McKinney,verified,https://housedems.com/donavan-mckinney/,https://housedems.com/wp-content/uploads/2022/11/McKinney_Donavan.jpg,official_legislative,Michigan House Democrats Member Profile - Donavan McKinney,Verified official legislative portrait from Michigan House Democrats website.
Black Representation,Jeffrey Hulum III,verified,https://www.leg.state.nv.us/App/Legislator/A/Assembly/Current/14,https://www.leg.state.nv.us/Session/82nd2023/Legislators/Assembly/Photos/HulumIII14.jpg,official_legislative,Nevada Legislature Member Profile - Jeffrey Hulum III,Verified official legislative portrait from Nevada Legislature website.
Black Representation,Cyril Jefferson,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,N’Kiyla Jasmine Thomas,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Frederick D. Haynes III,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Melissa Conyears-Ervin,verified,https://en.wikipedia.org/wiki/Melissa_Conyears-Ervin,https://upload.wikimedia.org/wikipedia/commons/0/05/Inside_Chicago_Temple_Chicago_Teachers_Union_Rally_10-14-19_3817_%2848906370846%29_%28Melissa_Conyears-Ervin%29.jpg,licensed_editorial,Wikimedia Commons - Melissa Conyears-Ervin,Verified licensed editorial portrait from Wikimedia Commons.
Black Representation,Anthony Driver,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Yasmeen Bankole,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Ardelia Holmes,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Sean Freeman,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Chris Rabb,verified,https://en.wikipedia.org/wiki/Chris_Rabb,https://upload.wikimedia.org/wikipedia/commons/2/24/Rep._Chris_Rabb_speaks_at_a_fundraiser.jpg,licensed_editorial,Wikimedia Commons - Rep. Chris Rabb,Verified licensed editorial portrait from Wikimedia Commons.
Black Representation,Sharif Street,verified,https://en.wikipedia.org/wiki/Sharif_Street,https://upload.wikimedia.org/wikipedia/commons/e/ea/Sharif_Street_-_18901_gov_minwage_dz_030_%28cropped%29.jpg,licensed_editorial,Wikimedia Commons - Sharif Street,Verified licensed editorial portrait from Wikimedia Commons.
Black Representation,William Parker,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Darializa Avila Chevalier,verified,https://en.wikipedia.org/wiki/Darializa_Avila_Chevalier,https://upload.wikimedia.org/wikipedia/commons/9/93/Darializa_Avila_Chevalier_during_interview_on_Secretos_CEO.jpg,licensed_editorial,Wikimedia Commons - Darializa Avila Chevalier,Verified licensed editorial portrait from Wikimedia Commons.
Black Representation,Michael Blake,verified,https://en.wikipedia.org/wiki/Michael_Blake_%28politician%29,https://upload.wikimedia.org/wikipedia/commons/c/c4/Michael_Blake_02_%28crop_3%29.jpg,licensed_editorial,Wikimedia Commons - Michael Blake Politician,Verified licensed editorial portrait from Wikimedia Commons.
Black Representation,Dax Alexander,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
Black Representation,Maurice Mercer,not_found,,,not_found,Not Found,No verified official portrait or licensed editorial photo found from reliable primary sources.
