collection,candidate_name,status,portrait_page_url,direct_image_url,source_type,source_title,verification_note
House,M. Wingfield,verified,https://www.wingfieldforcongress.com/,http://static1.squarespace.com/static/6a20982ab4e1dc04a1c4fd36/t/6a3b370e3d6d5b33a773d983/1782265614216/Wingfield+%281%29.png?format=1500w,official_campaign,Megan Wingfield for Congress,Verified official campaign website and loading portrait image URL.
House,Melissa Strange,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Ned Pillersdorf,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Zach Dembo,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Matt Dunlap,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Dan Schwartz,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,John Olszewski,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Hillary Scholten,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Callie Barr,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Christian Vukasovich,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,William Lawrence,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Ray Pooley,verified,https://www.pooley4congress.com/,"https://static.wixstatic.com/media/65ce28_38bdf8e7b09a4ff49cbd56a05a80f960%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/65ce28_38bdf8e7b09a4ff49cbd56a05a80f960%7Emv2.jpg",official_campaign,Ray Pooley for Congress,Verified official campaign website and loading portrait image URL.
House,Ben Ambrose,verified,https://ambrose4congress.com/,https://ambrose4congress.com/BAH25_001_FINAL_1c.webp,official_campaign,Ben Ambrose for Congress,Verified official campaign website and loading portrait image URL.
House,Donavan McKinney,verified,https://housedems.com/donavan-mckinney/,https://housedems.com/wp-content/uploads/2026/02/0Q0A6621-scaled.jpg,official_legislative,Michigan House Democrats - Donavan McKinney,Verified official legislative profile and loading portrait image URL.
House,Doug Chapin,verified,https://www.chapinforcongress.com/,https://run.imgix.net/44be074d-a295-4450-9235-d97019612268/04903b16-9208-420e-b09d-3abf5989192d/04903b16-9208-420e-b09d-3abf5989192d.jpg?ixlib=js-3.8.0&bri=0&con=0&sat=0&high=0&shad=0&usm=0&rect=565%2C0%2C4768%2C2494,official_campaign,Doug Chapin for Congress,Verified official campaign website and loading portrait image URL.
House,Michael Chiaradio,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Jeffrey Hulum,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Wesley Bell,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Emanuel Cleaver,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Chris Backemeyer,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Becky Stille,verified,https://www.beckystille2026.com/,https://run.imgix.net/83a83051-a575-4836-8250-0ead4463207f/1b30b1c6-94e8-4adb-af1b-01f087982e66/1b30b1c6-94e8-4adb-af1b-01f087982e66.png?ixlib=js-3.8.0&bri=0&con=0&sat=0&high=0&shad=0&usm=0&rect=0%2C185%2C1352%2C710,official_campaign,Becky Stille for U.S. Congress,Verified official campaign website and loading portrait image URL.
House,Analilia Mejia,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Patrick Halpin,verified,https://www.halpinforcongress.com/,https://run.imgix.net/c4b5920c-d331-4f80-99ec-b442234934ad/552d8207-1493-4a29-9c85-72a0e424bcc6/552d8207-1493-4a29-9c85-72a0e424bcc6.jpg?ixlib=js-3.8.0&bri=0&con=0&sat=0&high=0&shad=0&usm=0&rect=0%2C0%2C2200%2C1518,official_campaign,Halpin for Congress,Verified official campaign website and loading portrait image URL.
House,Claire Valdez,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Brad Lander,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Allison Ziogas,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Micah Lasher,verified,https://assembly.state.ny.us/mem/Micah-C-Lasher,https://assembly.state.ny.us/write/upload/member_files/069/header_headshot/069.png?hhst=1734540318,official_legislative,New York State Assembly - Micah Lasher,Verified official legislative profile and loading portrait image URL.
House,Darializa Avila Chevalier,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
House,Cait Conley,verified,https://caitconley.com/,https://caitconley.com/wp-content/uploads/2025/03/SBD-CCON-Meta-ActBlue.webp,official_campaign,Cait Conley for Congress,Verified official campaign website and loading portrait image URL.
House,Diana Kastenbaum,not_found,,,,,"Could not verify an official loading direct portrait image URL from candidate source pages (avoiding seals, logos, and placeholders)."
